"STATE_CODE","SHRP_ID","CONSTRUCTION_NO","CN_ASSIGN_DATE","CN_CHANGE_REASON","RECORD_STATUS","GPS_SPS","EXPERIMENT_NO","STATUS","ASSIGN_DATE","DEASSIGN_DATE","SEAS_ID","SUPPLEMENTAL","EXP_SECT_RS","BASIC_INFO_RS","PAV_STRUCT_RS","TRAFFIC_RS","CLIMATIC_RS"
20,"3013",3,7/15/2003 0:00:00,"2,3,4,12,50,54","E","G","3","O",1/1/1987 0:00:00,10/15/2010 0:00:00,,,"E","E","E","E","E"
20,"4053",2,6/1/2004 0:00:00,"54","E","G","4","O",6/1/1987 0:00:00,7/1/2005 0:00:00,,,"E","E","E","E","E"
20,"7073",3,7/29/1992 0:00:00,"33,45","E","G","7S","O",7/29/1992 0:00:00,8/1/1994 0:00:00,,,"E","E","E","E","E"
26,"0214",2,6/1/2002 0:00:00,"3,7","E","S","2","O",1/1/1993 0:00:00,10/20/2003 0:00:00,,,"E","E","E","E","E"
26,"0604",3,5/1/1995 0:00:00,"57","E","S","6","O",1/1/1987 0:00:00,6/26/1999 0:00:00,,,"E","E","E","E","E"
26,"4015",2,6/1/1999 0:00:00,"6","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
26,"4015",3,5/1/2002 0:00:00,"5,6","E","G","4","O",1/1/1987 0:00:00,8/1/2016 0:00:00,,,"E","E","E","E","E"
26,"5363",2,6/1/1995 0:00:00,"6","E","G","5","O",1/1/1987 0:00:00,4/1/1998 0:00:00,,,"E","E","E","E","E"
26,"5363",3,9/1/1996 0:00:00,"6","E","G","5","O",1/1/1987 0:00:00,4/1/1998 0:00:00,,,"E","E","E","E","E"
26,"9030",2,4/1/1999 0:00:00,"7","E","G","9","O",1/1/1987 0:00:00,4/1/2003 0:00:00,,,"E","E","E","E","E"
26,"9030",3,9/1/2001 0:00:00,"54","E","G","9","O",1/1/1987 0:00:00,4/1/2003 0:00:00,,,"E","E","E","E","E"
26,"A340",3,5/1/1992 0:00:00,"22","E","S","3","O",1/1/1987 0:00:00,9/3/1998 0:00:00,,,"E","E","E","E","E"
26,"A340",4,5/1/1995 0:00:00,"22","E","S","3","O",1/1/1987 0:00:00,9/3/1998 0:00:00,,,"E","E","E","E","E"
26,"C330",3,6/1/1994 0:00:00,"25","E","S","3","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,,"E","E","E","E","E"
26,"C351",3,6/1/1992 0:00:00,"25","E","S","3","O",1/1/1987 0:00:00,12/31/2005 0:00:00,,"S","E","E","E","E","E"
20,"0204",4,3/22/2005 0:00:00,"2,3","E","S","2",,1/1/1992 0:00:00,,,,"E","E","E","E","E"
27,"0701",6,9/1/1998 0:00:00,"6","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,,"E","E","E","E","E"
27,"0701",7,7/1/2001 0:00:00,"6,11","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,,"E","E","E","E","E"
27,"0704",3,11/1/2004 0:00:00,"6","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,,"E","E","E","E","E"
27,"0707",3,11/1/2004 0:00:00,"6","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,,"E","E","E","E","E"
27,"0708",5,7/1/2001 0:00:00,"6","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,,"E","E","E","E","E"
27,"0759",3,7/1/2004 0:00:00,"6","E","S","7","O",1/1/1987 0:00:00,6/10/2005 0:00:00,,"S","E","E","E","E","E"
27,"0902",5,9/1/2004 0:00:00,"26","E","S","9J","O",1/1/1993 0:00:00,9/15/2005 0:00:00,,,"E","E","E","E","E"
27,"1003",2,6/1/2004 0:00:00,"24","E","G","1","O",1/1/1993 0:00:00,5/1/2008 0:00:00,,,"E","E","E","E","E"
